,timestamp,open,high,low,close,volume
98,1767588300,1598.8,1599.7,1597.4,1598.5,2542160
99,1767589500,1598.4,1599.1,1594.7,1597.3,2785145
100,1767590700,1597.2,1599.2,1595.4,1597.0,3073849
101,1767591900,1596.9,1597.0,1593.3,1596.0,3396309
102,1767593100,1595.9,1596.5,1592.7,1593.1,3650466
103,1767594300,1593.5,1594.3,1590.0,1592.0,3872553
104,1767595500,1592.1,1592.2,1589.9,1590.6,4140319
105,1767596700,1591.0,1592.5,1590.5,1590.7,4355950
106,1767597900,1590.6,1591.1,1587.7,1589.3,4633093
107,1767599100,1589.2,1589.7,1584.0,1584.8,4915668
108,1767600300,1584.7,1585.9,1582.1,1583.7,5192763
109,1767601500,1583.6,1584.8,1579.1,1579.7,5718421
110,1767602700,1579.8,1581.1,1577.3,1579.9,6095210
111,1767603900,1580.0,1582.5,1579.9,1581.7,6586206
112,1767605100,1581.9,1582.3,1577.4,1577.5,7663642
113,1767606300,1577.4,1578.4,1575.3,1577.2,8704075
114,1767671100,1569.0,1569.0,1518.8,1531.1,6854788
115,1767672300,1531.5,1535.1,1525.0,1531.8,8398308
116,1767673500,1531.5,1535.9,1525.6,1526.2,9607571
117,1767674700,1526.3,1528.2,1522.1,1523.2,10643421
118,1767675900,1523.1,1524.1,1520.1,1521.6,11373117
119,1767677100,1521.5,1523.7,1511.0,1511.2,12348612
120,1767678300,1510.7,1511.2,1497.0,1505.1,15966092
121,1767679500,1505.0,1514.3,1504.0,1513.9,17348475
122,1767680700,1513.7,1514.0,1507.7,1509.3,18084788
123,1767681900,1509.2,1509.2,1502.2,1504.0,18765768
124,1767683100,1503.9,1507.7,1503.6,1507.4,19369072
125,1767684300,1507.6,1510.0,1505.9,1506.0,20120444
126,1767685500,1506.1,1507.9,1503.6,1503.8,20775499
127,1767686700,1503.9,1507.9,1502.0,1506.4,21434094
128,1767687900,1506.2,1506.7,1499.4,1501.3,22965370
129,1767689100,1501.4,1506.9,1501.2,1506.3,23613672
130,1767690300,1506.4,1511.0,1504.2,1507.6,24622799
131,1767691500,1507.8,1508.3,1505.2,1506.6,25997163
132,1767692700,1506.5,1510.0,1505.5,1508.7,27404963
133,1767757500,1510.0,1519.5,1504.7,1515.5,1772796
134,1767758700,1515.2,1520.0,1512.2,1513.5,2320379
135,1767759900,1513.8,1516.8,1512.3,1512.4,2662891
136,1767761100,1512.1,1513.6,1504.3,1505.5,3325517
137,1767762300,1505.4,1508.2,1502.3,1507.9,3758113
138,1767763500,1507.8,1508.6,1506.0,1506.2,4067198
139,1767764700,1506.1,1509.6,1505.1,1509.4,4332772
140,1767765900,1509.3,1511.2,1507.6,1507.7,4646987
141,1767767100,1507.6,1509.8,1505.2,1505.6,5040952
142,1767768300,1505.5,1505.7,1502.8,1503.5,5385392
143,1767769500,1503.4,1506.0,1502.3,1502.6,5717862
144,1767770700,1502.7,1505.6,1502.6,1504.6,6183443
145,1767771900,1504.7,1506.0,1500.8,1502.4,6629076
146,1767773100,1502.5,1504.0,1501.9,1503.0,6975450
147,1767774300,1502.9,1503.9,1502.5,1502.8,7347608
148,1767775500,1502.7,1502.7,1498.3,1501.3,8175373
149,1767776700,1501.8,1502.6,1500.3,1502.6,8728499
150,1767777900,1502.4,1506.4,1501.6,1504.6,10041567
151,1767779100,1504.7,1505.5,1502.7,1505.2,11197553
152,1767843900,1500.0,1501.1,1491.1,1494.9,1334717
153,1767845100,1496.0,1497.0,1490.1,1492.8,1802002
154,1767846300,1493.0,1495.0,1488.6,1493.2,2308255
155,1767847500,1493.0,1493.3,1485.2,1485.3,3027706
156,1767848700,1485.2,1486.8,1482.2,1486.1,3658119
157,1767849900,1486.4,1486.9,1484.2,1485.5,4491040
158,1767851100,1485.3,1485.5,1480.5,1482.1,5101061
159,1767852300,1482.2,1484.2,1479.4,1480.2,5625450
160,1767853500,1480.1,1480.7,1476.1,1479.7,6221281
161,1767854700,1479.8,1480.0,1474.3,1475.0,6771700
162,1767855900,1474.9,1475.0,1471.7,1472.8,8093375
163,1767857100,1473.0,1474.3,1470.5,1474.0,9139008
164,1767858300,1473.9,1474.0,1468.8,1469.9,10243121
165,1767859500,1469.7,1472.8,1469.6,1471.3,11137565
166,1767860700,1471.1,1472.6,1470.2,1470.6,11853406
167,1767861900,1470.5,1472.8,1470.2,1471.5,12724430
168,1767863100,1471.6,1472.0,1470.6,1471.2,13300180
169,1767864300,1471.0,1472.2,1468.9,1469.9,14926713
170,1767865500,1470.1,1472.0,1469.1,1470.9,16515302
171,1767930300,1465.0,1479.9,1465.0,1473.1,1619099
172,1767931500,1472.7,1478.0,1468.7,1473.2,2136146
173,1767932700,1473.3,1475.7,1471.3,1472.0,2483623
174,1767933900,1472.1,1477.7,1471.0,1474.8,2822859
175,1767935100,1474.9,1475.0,1470.5,1471.0,3223115
176,1767936300,1470.6,1472.8,1469.3,1469.8,3576299
177,1767937500,1470.1,1475.0,1469.3,1471.5,3843886
178,1767938700,1471.0,1471.6,1466.5,1469.1,4223014
179,1767939900,1469.0,1471.8,1467.6,1470.7,4560188
180,1767941100,1470.9,1472.4,1468.5,1470.8,4806835
181,1767942300,1470.5,1471.0,1465.0,1467.9,5200984
182,1767943500,1467.6,1471.9,1467.2,1471.1,5459057
183,1767944700,1471.0,1473.6,1470.1,1472.7,5835499
184,1767945900,1472.8,1478.8,1471.0,1472.0,6182503
185,1767947100,1472.1,1475.0,1470.2,1470.3,6394303
186,1767948300,1470.7,1473.9,1470.0,1473.1,6680799
187,1767949500,1473.5,1473.6,1469.6,1473.0,7026775
188,1767950700,1473.1,1476.5,1472.0,1476.1,7733695
189,1767951900,1476.0,1476.2,1473.9,1476.0,8333051
190,1768189500,1475.3,1475.5,1456.3,1462.0,865595
191,1768190700,1461.9,1467.6,1459.5,1462.8,1289845
192,1768191900,1462.7,1464.2,1461.0,1461.8,1489261
193,1768193100,1461.6,1465.0,1461.2,1463.9,1789922
194,1768194300,1463.8,1464.1,1460.3,1461.3,2031493
195,1768195500,1461.4,1461.5,1453.5,1455.9,2648303
196,1768196700,1455.6,1457.6,1454.2,1455.0,3008263
197,1768197900,1454.4,1456.3,1452.2,1453.6,3421681
198,1768199100,1453.7,1461.6,1451.2,1461.6,3835536
199,1768200300,1461.7,1468.6,1460.1,1466.8,4389856
200,1768201500,1466.6,1471.3,1465.0,1470.5,4811435
201,1768202700,1470.8,1473.8,1467.6,1472.3,5137173
202,1768203900,1472.0,1475.3,1469.6,1474.4,5404837
203,1768205100,1474.3,1479.5,1473.0,1479.5,5759469
204,1768206300,1479.1,1480.7,1475.8,1478.7,6152313
205,1768207500,1478.8,1484.4,1478.4,1481.0,6630604
206,1768208700,1481.3,1484.0,1477.5,1483.8,7253679
207,1768209900,1483.5,1484.0,1480.5,1483.4,7991260
208,1768211100,1483.3,1485.3,1483.0,1484.0,8877273
